Skeleton 016:LFTC X,Skeleton 016:LFTC Y,Skeleton 016:LFTC Z
-801.461426,958.117493,-1263.751221
-801.399902,958.11377,-1263.833862
-801.361938,958.124207,-1263.949097
-801.395325,958.073059,-1264.107544
-801.416626,957.990234,-1264.14209
-801.416443,957.933228,-1264.175171
-801.352051,957.947754,-1264.167969
-801.277222,957.981628,-1264.223633
-801.152405,958.031982,-1264.318848
-801.062439,958.009521,-1264.431152
-801.033691,957.932739,-1264.481201
-801.031067,957.877258,-1264.536987
-800.984924,957.913513,-1264.578369
-800.907166,957.967102,-1264.588745
-800.804688,957.962463,-1264.615845
-800.682434,957.92926,-1264.661255
-800.534302,957.950256,-1264.85437
-800.476196,958.02002,-1264.908691
-800.432495,958.028259,-1264.917969
-800.350769,958.010742,-1264.861816
-800.281433,957.947876,-1264.7771
-800.129028,957.819153,-1264.597168
-799.95752,957.749023,-1264.392822
-799.813416,957.798828,-1264.339478
-799.710266,957.921143,-1264.330933
-799.605103,957.912354,-1264.175293
-799.51886,957.901001,-1263.992554
-799.371704,957.910278,-1263.763428
-799.172974,957.927979,-1263.565674
-799.02533,957.940918,-1263.48938
-798.899292,957.933228,-1263.361206
-798.834473,957.810974,-1263.243286
-798.791626,957.746216,-1263.078857
-798.670288,957.76886,-1262.919922
-798.486511,957.7948,-1262.764648
-798.360168,957.811584,-1262.63147
-798.235352,957.798218,-1262.559448
-798.155396,957.814453,-1262.493286
-798.065063,957.788757,-1262.403809
-798.039673,957.722534,-1262.278687
-797.955078,957.694397,-1262.11438
-797.824951,957.629272,-1261.942139
-797.700256,957.513428,-1261.770264
-797.6026,957.419312,-1261.631714
-797.542603,957.439758,-1261.585815
-797.492371,957.547913,-1261.571777
-797.537598,957.735291,-1261.497192
-797.531555,957.780151,-1261.339844
-797.451355,957.597046,-1261.057617
-797.33728,957.300232,-1260.719482
-797.261108,957.105164,-1260.463135
-797.222595,957.119385,-1260.349365
-797.210876,957.37262,-1260.377686
-797.17865,957.758484,-1260.43457
-797.142029,957.973694,-1260.353271
-797.090149,957.979675,-1260.13208
-796.981628,957.836731,-1259.885376
-796.963196,957.764893,-1259.680054
-796.960999,957.814819,-1259.58728
